query_num	target_num	ratio
7	7	0.8102697998259356
9	4	0.8908296943231441
9	34	0.7554585152838428
19	20	0.987027027027027
20	19	0.9891540130151844
27	27	0.768361581920904
28	12	0.8002232142857143
28	14	0.8571428571428571
28	226	0.8649553571428571
28	343	0.8091517857142857
28	383	0.8448660714285714
28	384	0.8392857142857143
28	500	0.8203125
33	23	0.8465346534653465
34	4	0.9822064056939501
34	9	0.9739027283511269
35	36	0.9529702970297029
36	35	0.959748427672956
53	57	0.9487577639751553
53	185	0.7686335403726708
53	210	0.7624223602484472
57	53	0.9714285714285714
57	237	0.7603174603174603
60	32	0.7575221238938054
60	572	0.7929203539823009
60	674	0.7787610619469026
60	790	0.8106194690265487
63	361	0.7818181818181819
63	468	0.7834710743801653
63	558	0.7801652892561983
65	139	0.8157894736842105
65	202	0.787828947368421
65	277	0.7845394736842105
65	344	0.7631578947368421
65	386	0.7713815789473685
66	255	0.7511961722488039
67	122	0.7592592592592593
67	135	0.7861952861952862
67	143	0.7895622895622896
67	156	0.8198653198653199
67	184	0.8232323232323232
67	194	0.7744107744107744
67	220	0.7895622895622896
68	339	0.7646076794657763
68	351	0.7879799666110183
68	358	0.7796327212020033
68	571	0.7712854757929883
69	6	0.7682481751824818
69	867	0.7700729927007299
74	120	0.8886827458256029
74	175	0.8126159554730983
74	280	0.8738404452690167
74	603	0.8237476808905381
74	635	0.8404452690166976
74	646	0.8348794063079777
74	673	0.8552875695732839
74	695	0.7996289424860853
74	903	0.7884972170686456
75	149	0.8779599271402551
75	211	0.7632058287795993
75	239	0.8615664845173042
75	256	0.7650273224043715
75	488	0.8324225865209471
75	489	0.8397085610200364
75	608	0.8360655737704918
75	649	0.8342440801457195
75	678	0.848816029143898
76	78	0.9858906525573192
76	329	0.7795414462081128
76	520	0.781305114638448
76	547	0.7954144620811288
76	580	0.7883597883597884
78	76	0.9893238434163701
78	329	0.7953736654804271
78	520	0.7740213523131673
78	547	0.8096085409252669
78	580	0.802491103202847
79	189	0.9695340501792115
79	243	0.8261648745519713
79	640	0.7598566308243727
80	479	0.8086303939962477
80	480	0.8123827392120075
80	619	0.8142589118198874
80	669	0.7542213883677298
80	807	0.7636022514071295
81	186	0.8438661710037175
