query_id	neibor_id	neibor_ratio	query_unknown_ratio	COG_LETTER
30	30	0.7707948243992606	0.00369685767097966	E
30	285	0.756007393715342	0.00369685767097966	E
30	350	0.7504621072088724	0.00369685767097966	E
46	387	0.7554585152838428	0.01746724890829694	H
56	169	0.8223234624145785	0.00911161731207289	D
59	169	0.8063063063063063	0.0159090909090909	D
111	551	0.9672619047619048	0	M
113	127	0.8316742081447964	0	E
113	712	0.8361990950226245	0	E
121	125	0.8917112299465241	0	E
125	121	1.2156862745098038	0	E
127	113	1.5061349693251531	0	E
130	192	0.889261744966443	0.0134228187919463	V
134	457	0.8668941979522184	0	G
138	140	1.188073394495413	0	C
140	138	1.2564102564102564	0	C
140	1021	0.7552447552447552	0	C
160	175	0.7649253731343284	0	J
161	161	2.093632958801498	0.02247191011235955	N
169	56	0.8760890609874153	0.00215982721382289	M
169	59	0.8238141335914811	0.00215982721382289	M
169	632	0.8838334946757018	0.00215982721382289	M
169	651	0.8877057115198451	0.00215982721382289	M
169	684	0.8547918683446273	0.00215982721382289	M
169	909	0.8160696999031946	0.00215982721382289	M
173	181	0.754863813229572	0	J
175	160	0.7725490196078432	0.00392156862745098	J
178	183	0.8188976377952756	0.01181102362204724	L
178	187	0.8110236220472441	0.01181102362204724	L
178	254	0.7637795275590551	0.01181102362204724	L
178	264	0.7834645669291339	0.01181102362204724	L
180	191	0.766798418972332	0	O
180	192	1.0039525691699605	0	O
180	203	0.7786561264822134	0	O
180	211	0.7628458498023716	0	O
181	173	0.7976190476190477	0.00396825396825396	C
181	198	0.7777777777777778	0.00396825396825396	C
181	231	0.7658730158730159	0.00396825396825396	C
183	178	0.7936507936507936	0.0119047619047619	K
183	187	0.7896825396825397	0.0119047619047619	K
183	254	0.7658730158730159	0.0119047619047619	K
183	264	0.7738095238095238	0.0119047619047619	K
185	284	0.7609561752988048	0	E
186	201	0.7768924302788844	0	H
186	357	0.7808764940239044	0	H
187	178	0.7808764940239044	0.01593625498007968	L
187	183	0.7848605577689243	0.01593625498007968	L
187	264	0.7609561752988048	0.01593625498007968	L
190	269	0.7741935483870968	0	F
191	180	0.8104838709677419	0.00403225806451612	C
191	192	1.0806451612903225	0.00403225806451612	C
191	209	0.8669354838709677	0.00403225806451612	C
191	211	0.7903225806451613	0.00403225806451612	C
191	298	0.782258064516129	0.00403225806451612	C
