genome	Clade1	Clade2	Subclade	Subgroup	Order	Family	Genus	Species	reference	type_strain_Freel_2024	type	depth_cat	latitude_cat
AG-891-N03	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-900-I13	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-917-D03	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-918-G22	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-892-F15	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	splendidus	Pachiadaki et al., (2019)	TRUE	SAG	o-100m	North Temperate
AG-894-F15	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-896-G07	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
GOM-A1	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Tsementzi et al., (2016)	NA	SAG	o-100m	North Temperate
AG-913-N09	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-893-J08	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-893-M22	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-900-G16	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-920-L20	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-900-I19	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-894-A03	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-359-G17	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-426-M19	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-894-B06	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-903-C11	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-897-O16	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-899-O04	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-913-G10	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-918-E02	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-893-N07	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-912-A14	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-898-G21	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-909-F14	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-912-I02	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-359-O11	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-915-G14	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-916-E19	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-917-D23	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-426-E13	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-894-L19	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-913-I09	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-359-B05	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-892-B11	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-894-E10	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-908-L09	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-917-D14	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-892-J03	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-899-A06	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-918-K13	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-916-L11	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-897-G09	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-916-B06	I	Ib	Ib.1	Ib.1.III	Pelagibacterales	Pelagibacteraceae	Copiapelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-337-C09	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	South Temperate
AG-404-P13	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-907-F09	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-337-G04	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	South Temperate
AG-461-L09	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	South Temperate
AG-894-L17	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-414-O09	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	100-200m	North Temperate
AG-893-L07	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-904-K03	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-908-F18	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-916-B15	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-896-F06	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-916-O20	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-901-I06	I	Ib	Ib.2.a	Ib.2.I	Pelagibacterales	Pelagibacteraceae	Stellipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-337-C19	I	Ib	Ib.2.b	Ib.2.N10	Pelagibacterales	Pelagibacteraceae	Fususpelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	South Temperate
AG-893-L13	I	Ib	Ib.2.b	Ib.2.N10	Pelagibacterales	Pelagibacteraceae	Fususpelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-899-M19	I	Ib	Ib.2.b	Ib.2.N10	Pelagibacterales	Pelagibacteraceae	Fususpelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-917-F16	I	Ib	Ib.2.b	Ib.2.N10	Pelagibacterales	Pelagibacteraceae	Fususpelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-905-M05	I	Ib	Ib.2.b	Ib.2.N10	Pelagibacterales	Pelagibacteraceae	Fususpelagibacter	tranquillus	Pachiadaki et al., (2019)	TRUE	SAG	o-100m	North Temperate
AG-893-P02	I	Ib	Ib.2.b	Ib.2.N10	Pelagibacterales	Pelagibacteraceae	Fususpelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-426-F15	I	Ib	Ib.2.a	Ib.2.N7	Pelagibacterales	Pelagibacteraceae	Parvipelagibacter	dignotus	Pachiadaki et al., (2019)	TRUE	SAG	o-100m	North Temperate
AG-903-L07	I	Ib	Ib.2.a	Ib.2.N7	Pelagibacterales	Pelagibacteraceae	Parvipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-905-O08	I	Ib	Ib.2.a	Ib.2.N7	Pelagibacterales	Pelagibacteraceae	Parvipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-916-G09	I	Ib	Ib.2.a	Ib.2.N7	Pelagibacterales	Pelagibacteraceae	Parvipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-918-B06	I	Ib	Ib.2.a	Ib.2.N7	Pelagibacterales	Pelagibacteraceae	Parvipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-915-G13	I	Ib	Ib.2.a	Ib.2.N7	Pelagibacterales	Pelagibacteraceae	Parvipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-365-D07	I	Ib	Ib.3	Ib.3	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-390-C19	I	Ib	Ib.3	Ib.3	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-422-N14	I	Ib	Ib.3	Ib.3	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-426-G09	I	Ib	Ib.3	Ib.3	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-414-M23	I	Ib	Ib.3	Ib.3	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	100-200m	North Temperate
AG-439-O15	I	Ib	Ib.3	Ib.3	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	Tropical
AG-426-E17	I	Ib	Ib.4	Ib.4.I	Pelagibacterales	Pelagibacteraceae	Passimpelagibacter	unicum	Pachiadaki et al., (2019)	TRUE	SAG	o-100m	North Temperate
AG-891-E06	I	Ib	Ib.4	Ib.4.I	Pelagibacterales	Pelagibacteraceae	Passimpelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-916-A21	I	Ib	Ib.4	Ib.4.I	Pelagibacterales	Pelagibacteraceae	Passimpelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-325-E08	I	Ia	Ia.4	Ib.4.N2	Pelagibacterales	Pelagibacteraceae	Pantolocipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	Tropical
AG-390-D02	I	Ia	Ia.4	Ib.4.N2	Pelagibacterales	Pelagibacteraceae	Pantolocipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-390-D15	I	Ia	Ia.4	Ib.4.N2	Pelagibacterales	Pelagibacteraceae	Pantolocipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-390-M02	I	Ia	Ia.4	Ib.4.N2	Pelagibacterales	Pelagibacteraceae	Pantolocipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-390-J13	I	Ia	Ia.4	Ib.4.N2	Pelagibacterales	Pelagibacteraceae	Pantolocipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
SAG-MED11	I	Ia	Ia.4	Ib.4.N2	Pelagibacterales	Pelagibacteraceae	Pantolocipelagibacter	NA	Martinez-Hernandez et al., (2019); Haro-Moreno et al., (2020)	NA	SAG	o-100m	North Temperate
AG-916-G19	I	Ia	Ia.4	Ib.4.N2	Pelagibacterales	Pelagibacteraceae	Pantolocipelagibacter	undulans	Pachiadaki et al., (2019)	TRUE	SAG	o-100m	North Temperate
AG-893-F11	I	Ia	Ia.4	Ib.4.N3	Pelagibacterales	Pelagibacteraceae	Proventuspelagibacter	oceanicus	Pachiadaki et al., (2019)	TRUE	SAG	o-100m	North Temperate
AG-892-K05	I	Ia	Ia.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-912-C08	I	Ia	Ia.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-899-G02	I	Ia	Ia.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-900-K21	I	Ia	Ia.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-908-F20	I	Ia	Ia.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-894-L13	I	Ia	Ia.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-895-J19	I	Ia	Ia.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-461-M18	I	Ib	Ib.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	South Temperate
AG-893-K09	I	Ib	Ib.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	bermudensis	Pachiadaki et al., (2019)	TRUE	SAG	o-100m	North Temperate
AG-901-I21	I	Ib	Ib.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-917-M15	I	Ib	Ib.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-909-A17	I	Ib	Ib.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-920-I06	I	Ib	Ib.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-917-B07	I	Ib	Ib.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-920-L19	I	Ib	Ib.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AH-324-B10	I	Ib	Ib.4	Ib.4.N8	Pelagibacterales	Pelagibacteraceae	Mediuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	Tropical
AG-430-F16	I	Ib	Ib.4	Ib.4.N9	Pelagibacterales	Pelagibacteraceae	Amplipelagibacter	globalis	Pachiadaki et al., (2019)	TRUE	SAG	o-100m	North Temperate
AG-430-J04	I	Ib	Ib.4	Ib.4.N9	Pelagibacterales	Pelagibacteraceae	Amplipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-907-E04	I	Ib	Ib.4	Ib.4.N9	Pelagibacterales	Pelagibacteraceae	Amplipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-914-A09	I	Ib	Ib.4	Ib.4.N9	Pelagibacterales	Pelagibacteraceae	Amplipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-453-K22	I	Ib	Ib.4	Ib.4.N9	Pelagibacterales	Pelagibacteraceae	Amplipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	South Temperate
AG-916-O13	I	Ib	Ib.4	Ib.4.N9	Pelagibacterales	Pelagibacteraceae	Amplipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-903-K07	I	Ib	Ib.4	Ib.4.N9	Pelagibacterales	Pelagibacteraceae	Amplipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-325-C21	I	Ib	Ib.5	Ib.5	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	Tropical
SAG-MED15	I	Ib	Ib.5	Ib.5	Pelagibacterales	Pelagibacteraceae	NA	NA	Martinez-Hernandez et al., (2019); Haro-Moreno et al., (2020)	NA	SAG	o-100m	North Temperate
AG-422-N15	I	Ib	Ib.5	Ib.5	Pelagibacterales	Pelagibacteraceae	NA	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-349-I05	I	Ib	Ib.5	Ib.N11	Pelagibacterales	Pelagibacteraceae	Rubeuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-430-I18	I	Ib	Ib.5	Ib.N11	Pelagibacterales	Pelagibacteraceae	Rubeuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-914-L20	I	Ib	Ib.5	Ib.N11	Pelagibacterales	Pelagibacteraceae	Rubeuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AH-324-E14	I	Ib	Ib.5	Ib.N11	Pelagibacterales	Pelagibacteraceae	Rubeuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	Tropical
AG-911-N14	I	Ib	Ib.5	Ib.N11	Pelagibacterales	Pelagibacteraceae	Rubeuspelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
ARS1026	I	Ic	Ic.1	Ic.1	Pelagibacterales	Pelagibacteraceae	Mesopelagibacter	NA	Tully et al. (2018)	NA	MAG	NA	NA
AG-414-E02	I	Ic	Ic.2	Ic.2	Pelagibacterales	Mesopelagibacteraceae	Mesopelagibacter	carboxydoxivorans	Pachiadaki et al., (2019)	TRUE	SAG	100-200m	North Temperate
ARS1	I	Ic	Ic.2	Ic.2	Pelagibacterales	Mesopelagibacteraceae	Mesopelagibacter	NA	Tully et al. (2018)	NA	MAG	NA	NA
MED605	I	Ic	Ic.2	Ic.2	Pelagibacterales	Mesopelagibacteraceae	Mesopelagibacter	NA	Tully et al. (2018)	NA	MAG	NA	NA
AG-343-E17	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	100-200m	South Temperate
AG-439-C08	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	Tropical
AG-414-B15	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	100-200m	North Temperate
AG-365-B19	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-426-O05	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-422-A21	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-426-I15	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-430-F03	II	IIa	IIa.A	IIa.A.1	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-325-E20	II	IIa	IIa.A	IIa.A.2	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	Tropical
AG-904-F11	II	IIa	IIa.A	IIa.A.2	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-920-L07	II	IIa	IIa.A	IIa.A.2	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-422-L15	II	IIa	IIa.A	IIa.A.2	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-916-D16	II	IIa	IIa.A	IIa.A.2	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-912-D10	II	IIa	IIa.A	IIa.A.2	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-916-G03	II	IIa	IIa.A	IIa.A.2	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
MED-G40	II	IIa	IIa.A	IIa.A.2	Pelagibacterales	Cosmipelagibacteraceae	Anoxipelagibacter	NA	Haro-Moreno et al. (2018)	NA	MAG	NA	North Temperate
AG-313-A04	II	IIa	IIa.B	IIa.B	Pelagibacterales	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	Tropical
AG-918-N23	II	IIa	IIa.B	IIa.B	Pelagibacterales	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
HIMB058	II	IIa	IIa.B	IIa.B	Pelagibacterales	Cosmipelagibacteraceae	Cosmipelagibacter	malulaniensis	Brandon M.S. thesis (2006)	TRUE	isolate	o-100m	Tropical
AG-422-F15	II	IIa	IIa.B	IIa.B	Pelagibacterales	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
AG-453-G04	II	IIa	IIa.B	IIa.B	Pelagibacterales	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	South Temperate
AG-891-O15	II	IIa	IIa.B	IIa.B	Pelagibacterales	Cosmipelagibacteraceae	Cosmipelagibacter	NA	Pachiadaki et al., (2019)	NA	SAG	o-100m	North Temperate
